,normalized_frequency,wavelength,transmittance
0,0.305,1540.983606557377,1.7034945664802339e-06
1,0.3050200400801603,1540.8823626030683,1.73778395807388e-06
2,0.30504008016032064,1540.781131951516,1.7727196160584465e-06
3,0.30506012024048096,1540.6799146000985,1.8083267892692203e-06
4,0.3050801603206413,1540.578710546195,1.8446315597158317e-06
5,0.3051002004008016,1540.4775197871852,1.881658699219536e-06
6,0.3051202404809619,1540.3763423204493,1.919429924103503e-06
7,0.30514028056112225,1540.2751781433685,1.957962840237968e-06
8,0.30516032064128257,1540.1740272533245,1.997270734867157e-06
9,0.3051803607214429,1540.0728896477,2.037363214501115e-06
10,0.3052004008016032,1539.971765323878,2.0782475384555603e-06
11,0.30522044088176353,1539.8706542792422,2.1199303814676336e-06
12,0.30524048096192385,1539.7695565111774,2.1624196950947726e-06
13,0.3052605210420842,1539.6684720170688,2.20572633523497e-06
14,0.3052805611222445,1539.5674007943019,2.249865179667631e-06
15,0.3053006012024048,1539.466342840264,2.2948555624121686e-06
16,0.30532064128256514,1539.3652981523414,2.34072098063888e-06
17,0.30534068136272546,1539.264266727923,2.3874881609497804e-06
18,0.3053607214428858,1539.163248564397,2.4351856818019437e-06
19,0.3053807615230461,1539.0622436591527,2.4838424191235623e-06
20,0.30540080160320643,1538.9612520095802,2.53348610213435e-06
21,0.30542084168336675,1538.8602736130704,2.5841422345976292e-06
22,0.3054408817635271,1538.7593084670143,2.635833561077888e-06
23,0.3054609218436874,1538.6583565688043,2.688580153466932e-06
24,0.3054809619238477,1538.557417915833,2.742400079787282e-06
25,0.305501002004008,1538.456492505494,2.7973105154432206e-06
26,0.3055210420841683,1538.355580335181,2.8533290843152258e-06
27,0.3055410821643286,1538.2546814022892,2.9104751849996366e-06
28,0.30556112224448895,1538.153795704214,2.968771070158928e-06
29,0.30558116232464927,1538.0529232383515,3.028242500369064e-06
30,0.3056012024048096,1537.9520640020985,3.0889188767797413e-06
31,0.3056212424849699,1537.8512179928528,3.1508328536744377e-06
32,0.30564128256513023,1537.7503852080124,3.2140195247196758e-06
33,0.30566132264529056,1537.6495656449763,3.2785153492047953e-06
34,0.3056813627254509,1537.5487593011442,3.3443570246692247e-06
35,0.3057014028056112,1537.447966173916,3.4115805142212953e-06
36,0.3057214428857715,1537.347186260693,3.4802204016040657e-06
37,0.30574148296593184,1537.2464195588766,3.550309682340321e-06
38,0.30576152304609217,1537.1456660658694,3.6218800177059565e-06
39,0.3057815631262525,1537.044925779074,3.694962394890974e-06
40,0.3058016032064128,1536.9441986958946,3.769588066478427e-06
41,0.30582164328657313,1536.843484813735,3.8457895972490065e-06
42,0.30584168336673345,1536.7427841300005,3.923601833480036e-06
43,0.3058617234468938,1536.6420966420967,4.003062630456124e-06
44,0.3058817635270541,1536.5414223474302,4.084213223079995e-06
45,0.3059018036072144,1536.440761243408,4.167098192443613e-06
46,0.30592184368737474,1536.3401133274378,4.251765055346586e-06
47,0.30594188376753506,1536.239478596928,4.338263570538356e-06
48,0.3059619238476954,1536.1388570492877,4.426644903315846e-06
49,0.3059819639278557,1536.038248681927,4.516960811107002e-06
50,0.306002004008016,1535.9376534922558,4.609263003949666e-06
51,0.30602204408817635,1535.8370714776859,4.703602797867644e-06
52,0.30604208416833667,1535.7365026356285,4.800031123285587e-06
53,0.306062124248497,1535.6359469634965,4.898598885437526e-06
54,0.3060821643286573,1535.535404458703,4.999357611129189e-06
55,0.30610220440881764,1535.434875118662,5.1023602672566735e-06
56,0.30612224448897796,1535.3343589407875,5.20766210956635e-06
57,0.3061422845691383,1535.2338559224954,5.315321419318717e-06
58,0.3061623246492986,1535.133366061201,5.425400010260712e-06
59,0.3061823647294589,1535.0328893543215,5.5379634333540445e-06
60,0.30620240480961924,1534.9324257992735,5.65308086352338e-06
61,0.30622244488977957,1534.8319753934752,5.7708247106987284e-06
62,0.3062424849699399,1534.7315381343453,5.891270046285108e-06
63,0.3062625250501002,1534.6311140193031,6.014493967405665e-06
64,0.30628256513026053,1534.5307030457682,6.14057502971236e-06
65,0.30630260521042085,1534.4303052111616,6.269592864365454e-06
66,0.3063226452905812,1534.3299205129044,6.401628059275827e-06
67,0.3063426853707415,1534.2295489484184,6.536762335771036e-06
68,0.3063627254509018,1534.1291905151268,6.675078998604521e-06
69,0.30638276553106214,1534.0288452104521,6.816663589288807e-06
70,0.30640280561122246,1533.9285130318192,6.9616046386040985e-06
71,0.3064228456913828,1533.828193976652,7.109994399543688e-06
72,0.3064428857715431,1533.7278880423764,7.261929449087961e-06
73,0.3064629258517034,1533.6275952264182,7.417511074254807e-06
74,0.30648296593186375,1533.527315526204,7.576845399544536e-06
75,0.30650300601202407,1533.427048939161,7.740043261379592e-06
76,0.30652304609218434,1533.3267954627179,7.907219881584827e-06
77,0.30654308617234466,1533.2265550943027,8.078494428092867e-06
78,0.306563126252505,1533.1263278313452,8.253989570590588e-06
79,0.3065831663326653,1533.0261136712752,8.433831138635689e-06
80,0.3066032064128256,1532.9259126115235,8.61814797027409e-06
81,0.30662324649298595,1532.8257246495214,8.80707200427123e-06
82,0.30664328657314627,1532.7255497827011,9.000738625350055e-06
83,0.3066633266533066,1532.6253880084955,9.199287227278904e-06
84,0.3066833667334669,1532.5252393243377,9.402861921343396e-06
85,0.30670340681362723,1532.425103727662,9.611612294224427e-06
86,0.30672344689378755,1532.3249812159029,9.825694113585099e-06
87,0.3067434869739479,1532.2248717864961,1.0045269892461015e-05
88,0.3067635270541082,1532.1247754368774,1.027050925223119e-05
