normalized_frequency,wavelength,transmittance
0.25,1600.0,0.06368257885440885
0.2502004008016032,1598.7184621545855,0.05472173298162888
0.25040080160320644,1597.438975590236,0.046637192977439894
0.2506012024048096,1596.1615353858458,0.043177156851440274
0.2508016032064128,1594.8861366360368,0.03973773874737045
0.25100200400801603,1593.6127744510977,0.03321422095129418
0.25120240480961925,1592.3414439569206,0.027388997794553758
0.25140280561122247,1591.072140294938,0.025237725644261577
0.25160320641282563,1589.804858622063,0.024032718273831764
0.25180360721442885,1588.5395941106249,0.02110190906729635
0.25200400801603207,1587.2763419483101,0.018393854892101904
0.2522044088176353,1586.0150973381008,0.01836455979441415
0.2524048096192385,1584.7558554982134,0.019618272827860418
0.25260521042084166,1583.498611662039,0.019729768144908844
0.2528056112224449,1582.2433610780818,0.019570057397462863
0.2530060120240481,1580.9900990099009,0.021451087751473974
0.2532064128256513,1579.7388207360505,0.024631033126855693
0.25340681362725453,1578.4895215500196,0.026423207292386765
0.2536072144288577,1577.242196760174,0.027022153855021484
0.2538076152304609,1575.996841689696,0.029051999694620606
0.25400801603206413,1574.7534516765286,0.032447640413406614
0.25420841683366735,1573.512022073315,0.0344665097409511
0.25440881763527057,1572.2725482473413,0.03513643143476837
0.25460921843687373,1571.0350255804801,0.037542133327819555
0.25480961923847695,1569.7994494691309,0.04201804117373472
0.25501002004008017,1568.565815324165,0.045564221740476044
0.2552104208416834,1567.3341185708675,0.04779899785903047
0.25541082164328655,1566.104354648882,0.05156292701024602
0.25561122244488976,1564.8765190121521,0.05676191203321641
0.255811623246493,1563.650607128868,0.059857162926016526
0.2560120240480962,1562.426614481409,0.060397898306714465
0.2562124248496994,1561.2045365662884,0.06175130046915264
0.2564128256513026,1559.9843688940994,0.06459506338572515
0.2566132264529058,1558.7661069894573,0.06611921055946994
0.256813627254509,1557.549746390948,0.0662470708738095
0.25701402805611223,1556.335282651072,0.06802923460582962
0.25721442885771545,1555.12271133619,0.07125048881606821
0.2574148296593186,1553.9120280264697,0.07213343889076698
0.25761523046092183,1552.7032283158305,0.06998858882760918
0.25781563126252505,1551.4963078118928,0.06803878960385427
0.25801603206412826,1550.2912621359224,0.06735552419959415
0.2582164328657315,1549.0880869227783,0.06596903725124346
0.25841683366733464,1547.886777820861,0.06410999580619814
0.25861723446893786,1546.6873304920575,0.06434211628007734
0.2588176352705411,1545.4897406116918,0.06609201734850667
0.2590180360721443,1544.294003868472,0.06554387327477296
0.2592184368737475,1543.1001159644375,0.061504622235610235
0.2594188376753507,1541.9080726149093,0.05663857073110682
0.2596192384769539,1540.717869548437,0.052675453453277905
0.2598196392785571,1539.529502506749,0.0488304248221387
0.26002004008016033,1538.3429672447012,0.04507549644174085
0.26022044088176355,1537.158259530227,0.042660041907558476
0.2604208416833667,1535.9753751442863,0.04090169046322231
0.26062124248496993,1534.794309880815,0.03718554867151133
0.26082164328657315,1533.615059546677,0.03085308114644698
0.26102204408817636,1532.4376199616122,0.024148504273626453
0.2612224448897796,1531.2619869581893,0.018776842334661554
0.26142284569138274,1530.0881563817557,0.01408400076545829
0.26162324649298596,1528.9161240903868,0.009223650113590233
0.2618236472945892,1527.7458859548412,0.004918474315502866
0.2620240480961924,1526.5774378585086,0.0022172520958901156
0.2622244488977956,1525.4107756973633,0.0009947412957780008
0.2624248496993988,1524.2458953799162,0.00044931448009657385
0.262625250501002,1523.0827928271653,0.0001511649909110079
0.2628256513026052,1521.9214639725506,4.735326463821758e-05
0.26302605210420843,1520.7619047619046,4.539630202326092e-05
0.2632264529058116,1519.604111153407,2.999852295225814e-05
0.2634268537074148,1518.4480791175354,5.786843551119762e-06
0.263627254509018,1517.2938046370202,7.579972754641373e-06
0.26382765531062125,1516.1412837067983,1.4494577744027063e-05
0.26402805611222446,1514.9905123339659,9.193742001771022e-06
0.2642284569138276,1513.8414865377324,6.794979936312143e-06
0.26442885771543084,1512.6942023493748,1.1297318363514832e-05
0.26462925851703406,1511.5486558121925,1.2018010240148365e-05
0.2648296593186373,1510.4048429814604,1.0590147470428945e-05
0.2650300601202405,1509.2627599243856,1.2986789103757745e-05
0.26523046092184366,1508.1224027200606,1.557639382497847e-05
0.2654308617234469,1506.9837674594187,1.6191785262956024e-05
0.2656312625250501,1505.8468502451906,1.8633765806831322e-05
0.2658316633266533,1504.7116471918582,2.28609120466319e-05
0.26603206412825653,1503.578154425612,2.6516778604855104e-05
0.2662324649298597,1502.4463680843057,3.16705242021966e-05
0.2664328657314629,1501.3162843174127,4.0337476200442e-05
0.2666332665330661,1500.1878992859827,5.167449439734989e-05
0.26683366733466934,1499.0612091625985,6.803498606938301e-05
0.26703406813627256,1497.936210131332,9.555448027388807e-05
0.2672344689378757,1496.8128983877016,0.00014198475149114086
0.26743486973947894,1495.6912701386289,0.00023501987187511062
0.26763527054108216,1494.5713216023962,0.00048087097953877913
0.2678356713426854,1493.4530490086045,0.0011831365744759304
0.2680360721442886,1492.3364485981308,0.003009627193779417
0.26823647294589176,1491.2215166230858,0.007064247126601743
0.268436873747495,1490.1082493467713,0.01459153877301699
0.2686372745490982,1488.9966430436405,0.02616278107291305
0.2688376753507014,1487.8866939992545,0.0406840122198112
0.26903807615230463,1486.778398510242,0.055143378620834335
0.2692384769539078,1485.6717528842578,0.06599502350171699
0.269438877755511,1484.5667534399406,0.07191551442788026
0.2696392785571142,1483.4633965068747,0.0758871987394158
0.26983967935871744,1482.3616784255478,0.08399137033550504
0.27004008016032066,1481.2615955473098,0.10054521776083827
0.2702404809619238,1480.1631442343346,0.12324964161243755
