,normalized_frequency,wavelength,transmittance
347,0.3001953907815631,1332.4654950850315,0.9229432317116896
348,0.30019739478957913,1332.4566000327106,0.9229353988799884
349,0.30019939879759516,1332.4477050991493,0.9229274441820384
350,0.3002014028056112,1332.438810284345,0.9229193656096912
351,0.3002034068136272,1332.4299155882952,0.9229111610959478
352,0.30020541082164326,1332.421021010998,0.922902828512267
353,0.3002074148296593,1332.4121265524504,0.922894365665542
354,0.3002094188376753,1332.4032322126507,0.9228857702951874
355,0.30021142284569136,1332.3943379915959,0.9228770400700319
356,0.3002134268537074,1332.385443889284,0.9228681725851132
357,0.3002154308617234,1332.3765499057124,0.9228591653583829
358,0.30021743486973945,1332.367656040879,0.9228500158273449
359,0.3002194388777555,1332.3587622947812,0.9228407213455644
360,0.3002214428857715,1332.3498686674166,0.9228312791790654
361,0.30022344689378755,1332.340975158783,0.9228216865026728
362,0.3002254509018036,1332.332081768878,0.9228119403962477
363,0.3002274549098196,1332.323188497699,0.9228020378407996
364,0.30022945891783565,1332.3142953452436,0.9227919757145551
365,0.3002314629258517,1332.3054023115099,0.9227817507888579
366,0.3002334669338677,1332.2965093964951,0.9227713597241012
367,0.30023547094188374,1332.287616600197,0.9227607990654386
368,0.3002374749498998,1332.2787239226132,0.9227500652384943
369,0.3002394789579158,1332.269831363741,0.9227391545450618
370,0.30024148296593184,1332.2609389235786,0.9227280631584928
371,0.30024348697394787,1332.2520466021233,0.9227167871192121
372,0.3002454909819639,1332.2431543993728,0.9227053223302388
373,0.30024749498997994,1332.2342623153245,0.9226936645523216
374,0.30024949899799597,1332.2253703499762,0.9226818093993366
375,0.300251503006012,1332.2164785033256,0.922669752333444
376,0.30025350701402803,1332.2075867753704,0.9226574886603331
377,0.30025551102204406,1332.1986951661079,0.9226450135242534
378,0.3002575150300601,1332.1898036755358,0.9226323219032155
379,0.30025951903807613,1332.180912303652,0.9226194086039102
380,0.30026152304609216,1332.1720210504538,0.9226062682569575
381,0.3002635270541082,1332.163129915939,0.9225928953118572
382,0.3002655310621242,1332.1542389001052,0.9225792840318779
383,0.30026753507014026,1332.14534800295,0.9225654284894278
384,0.3002695390781563,1332.136457224471,0.9225513225607989
385,0.3002715430861723,1332.127566564666,0.922536959921507
386,0.30027354709418835,1332.1186760235323,0.9225223340412912
387,0.3002755511022044,1332.1097856010679,0.9225074381794203
388,0.3002775551102204,1332.1008952972702,0.9224922653798187
389,0.30027955911823645,1332.0920051121368,0.922476808466601
390,0.3002815631262525,1332.0831150456654,0.9224610600393143
391,0.3002835671342685,1332.0742250978535,0.9224450124687372
392,0.30028557114228455,1332.0653352686988,0.9224286578922867
393,0.3002875751503006,1332.0564455581991,0.9224119882101198
394,0.3002895791583166,1332.0475559663519,0.922394995080941
395,0.30029158316633264,1332.0386664931548,0.9223776699183464
396,0.3002935871743487,1332.0297771386054,0.9223600038870052
397,0.3002955911823647,1332.0208879027011,0.9223419878994985
398,0.30029759519038074,1332.01199878544,0.9223236126130029
